district_id,category_id,platform_id,period_date,customers,ad_budget,campaign_rate,coupon_rate,flash_rate,joker_rate,daily_forecast,monthly_forecast,yearly_forecast
34-maltepe,,2,2026-05-01,967,75712,58.45,33.19,14.2,22.89,12293.69,584621.18,6226591.42
34-maltepe,,3,2026-05-01,2269,12401,56.6,39.96,26.34,12.74,2809.63,207853.1,2652066.75
34-kartal,,1,2026-05-01,3845,27406,47.79,10.24,15.45,37.8,12532.45,588552.2,7737357.46
34-kartal,,2,2026-05-01,1275,19350,27.94,28.19,15.32,38.4,13743.29,533528.28,3965161.09
34-kartal,,3,2026-05-01,996,39179,31.56,34.5,34.47,49.09,6405.36,68792.47,3991769.81
34-pendik,,1,2026-05-01,1713,54320,50.97,43.57,34.47,36.98,5315.76,115729.96,6987458.9
34-pendik,,2,2026-05-01,3287,25414,29.84,36.16,28.13,47.06,6846.49,498600.41,1047059.05
34-pendik,,3,2026-05-01,3589,36242,55.29,34.94,19.26,26.69,3984.46,408265.69,6513508.93
34-tuzla,,1,2026-05-01,501,11361,44.0,28.1,11.12,47.82,14447.86,511694.54,6166483.4
34-tuzla,,2,2026-05-01,3734,28786,41.32,21.81,39.09,37.84,8295.3,383162.06,5051419.38
34-tuzla,,3,2026-05-01,2550,75500,17.77,19.3,18.35,29.35,5666.23,230543.48,4157577.2
34-sultanbeyli,,1,2026-05-01,2865,31481,20.94,33.06,22.72,33.43,13395.55,575360.63,4361549.41
34-sultanbeyli,,2,2026-05-01,763,33172,25.84,11.04,26.13,28.38,7036.68,92121.73,2296793.57
34-sultanbeyli,,3,2026-05-01,3855,48253,18.93,47.25,34.13,49.51,3526.86,65656.34,2611357.83
34-sancaktepe,,1,2026-05-01,3770,44670,23.11,44.78,26.29,44.41,13907.9,544507.84,5091791.05
34-sancaktepe,,2,2026-05-01,2285,57489,26.72,22.66,20.62,46.92,14925.75,566169.27,1695849.08
34-sancaktepe,,3,2026-05-01,3413,65143,58.76,15.33,6.45,42.53,10743.45,235322.15,2788842.98
34-çekmeköy,,1,2026-05-01,1921,27910,29.33,31.38,32.69,27.95,5022.3,376927.5,4202953.6
34-çekmeköy,,2,2026-05-01,759,59286,40.68,46.62,21.62,25.31,12916.41,313153.71,1999609.28
34-çekmeköy,,3,2026-05-01,2538,13138,48.45,20.6,14.39,20.31,11202.26,373975.51,7518797.16
34-beykoz,,1,2026-05-01,611,44109,47.81,47.05,18.96,34.83,17091.21,167257.32,1332843.95
34-beykoz,,2,2026-05-01,2708,61299,18.89,24.3,30.54,45.06,12071.08,285422.16,2449578.22
34-beykoz,,3,2026-05-01,1424,28169,19.82,14.46,35.6,49.6,13772.97,259341.28,7693889.71
34-şile,,1,2026-05-01,571,43844,24.4,38.97,24.06,18.02,5830.05,354096.93,7719870.02
34-şile,,2,2026-05-01,3489,40737,17.72,27.55,30.91,42.03,5642.74,134075.17,7121280.75
34-şile,,3,2026-05-01,3834,38950,34.09,22.03,31.0,19.27,14466.07,241813.95,1002744.38
34-adalar,,1,2026-05-01,1797,55939,19.27,40.82,28.52,33.99,6985.58,581205.15,1601133.51
34-adalar,,2,2026-05-01,1521,41232,38.68,20.76,26.85,33.2,14521.23,450917.17,5444918.68
34-adalar,,3,2026-05-01,3396,3431,34.34,14.85,11.62,35.41,17318.9,132716.91,5977300.97
