scope,district_id,category,period_date,platform,customers,ad_budget,campaign_rate,coupon_rate,flash_rate,joker_rate,daily_forecast,monthly_forecast,yearly_forecast,cancel_rate,return_rate,cancel_reasons_json,return_reasons_json,area_performance_score,area_rating,highest_rating,lowest_rating,avg_basket,avg_menu_price,avg_monthly_revenue,courier_fee,hourly_heatmap_json,negative_comment_total,negative_comment_rate,negative_avg_rating,platform_negative_distribution_json,rating_distribution_json,negative_word_cloud_json,courier_comparison_json
district,34-adalar,Çiğ Köfte,2026-05-01,Getir,2549,55388,37.3,26.6,25.8,35.8,7545.54,212591.98,3456634.43,,,,,,,,,,,,,,,,,,,,
district,34-adalar,Çiğ Köfte,2026-05-01,Yemeksepeti,2856,58477,48.8,45.0,38.4,31.7,4442.55,339067.21,5352504.12,,,,,,,,,,,,,,,,,,,,
district,34-adalar,Çorba,2026-05-01,Uber Eats Trendyol Go,2311,38229,29.5,36.7,37.7,37.3,5003.67,236990.26,4666541.97,18.4,13.29,"[{""label"": ""Uzun bekleme"", ""percent"": 13.2, ""color"": ""#EE4444""}, {""label"": ""Yanlış ürün"", ""percent"": 22.3, ""color"": ""#A65EEA""}, {""label"": ""Lezzet"", ""percent"": 10.8, ""color"": ""#22CCEE""}, {""label"": ""Ürün stokta yok"", ""percent"": 28.6, ""color"": ""#66DD22""}, {""label"": ""Diğer"", ""percent"": 21.3, ""color"": ""#F99F1B""}]","[{""label"": ""Eksik Malzeme"", ""percent"": 21.0, ""color"": ""#EE4444""}, {""label"": ""Soğuk Geldi"", ""percent"": 19.1, ""color"": ""#A65EEA""}, {""label"": ""Yanlış Sipariş"", ""percent"": 29.4, ""color"": ""#22CCEE""}, {""label"": ""Ambalaj"", ""percent"": 16.5, ""color"": ""#F99F1B""}]",94.3,4.03,4.76,3.99,158.92,206.81,1166642,16,"[[28, 70, 50, 83, 100, 67, 84, 60, 10, 30, 38, 74, 20, 40, 60, 93, 66, 19, 7, 84, 81, 34, 94, 24], [43, 74, 5, 74, 56, 15, 32, 18, 63, 19, 86, 23, 67, 95, 41, 69, 94, 38, 57, 65, 64, 35, 62, 74], [22, 53, 28, 80, 69, 99, 21, 12, 39, 57, 47, 68, 38, 4, 40, 96, 42, 79, 78, 88, 66, 23, 61, 72], [65, 48, 46, 74, 73, 52, 62, 45, 28, 93, 34, 77, 53, 33, 56, 9, 44, 99, 64, 94, 52, 53, 88, 87], [23, 67, 8, 20, 68, 79, 46, 16, 60, 16, 71, 62, 5, 96, 22, 56, 87, 23, 13, 64, 37, 47, 83, 92], [54, 87, 14, 46, 90, 72, 52, 44, 84, 95, 66, 73, 8, 83, 12, 34, 84, 91, 40, 33, 99, 15, 59, 16], [85, 94, 16, 60, 25, 92, 42, 7, 9, 45, 11, 41, 49, 51, 59, 22, 35, 71, 56, 76, 91, 27, 25, 26]]",823,27.19,2.57,"[{""platform_id"": 1, ""percent"": 32.4}, {""platform_id"": 2, ""percent"": 38.9}, {""platform_id"": 3, ""percent"": 28.7}]","[{""stars"": 5, ""percent"": 24.6, ""count"": 975}, {""stars"": 4, ""percent"": 21.9, ""count"": 1320}, {""stars"": 3, ""percent"": 21.9, ""count"": 1865}, {""stars"": 2, ""percent"": 10.2, ""count"": 2147}, {""stars"": 1, ""percent"": 14.3, ""count"": 889}]","[{""text"": ""Lezzetsiz"", ""weight"": 4}, {""text"": ""Soğuk"", ""weight"": 3}, {""text"": ""Bayat"", ""weight"": 4}, {""text"": ""Kötü"", ""weight"": 3}, {""text"": ""Eksik"", ""weight"": 2}, {""text"": ""Tatsız"", ""weight"": 4}]","{""restaurant_courier"": {""fee"": 30, ""avg_cost"": 27.13, ""monthly_revenue"": 6124, ""churn_label"": ""DÜŞÜK""}, ""own_courier"": {""fee"": 0, ""avg_cost"": 30.38, ""monthly_revenue"": 1010244, ""churn_label"": ""ORTA""}}"
district,34-adalar,Çorba,2026-05-01,Getir,589,74397,41.5,30.5,36.3,42.1,12191.36,162261.06,6032032.47,,,,,,,,,,,,,,,,,,,,
district,34-adalar,Çorba,2026-05-01,Yemeksepeti,2534,74580,47.6,30.7,41.0,40.2,7875.53,309154.47,6104455.82,,,,,,,,,,,,,,,,,,,,
district,34-adalar,Dondurma,2026-05-01,Uber Eats Trendyol Go,1060,61172,27.4,37.5,25.8,44.7,4367.01,241215.31,3657059.03,23.19,6.92,"[{""label"": ""Uzun bekleme"", ""percent"": 15.4, ""color"": ""#EE4444""}, {""label"": ""Yanlış ürün"", ""percent"": 10.0, ""color"": ""#A65EEA""}, {""label"": ""Lezzet"", ""percent"": 20.7, ""color"": ""#22CCEE""}, {""label"": ""Ürün stokta yok"", ""percent"": 26.9, ""color"": ""#66DD22""}, {""label"": ""Diğer"", ""percent"": 12.3, ""color"": ""#F99F1B""}]","[{""label"": ""Eksik Malzeme"", ""percent"": 20.0, ""color"": ""#EE4444""}, {""label"": ""Soğuk Geldi"", ""percent"": 15.5, ""color"": ""#A65EEA""}, {""label"": ""Yanlış Sipariş"", ""percent"": 24.9, ""color"": ""#22CCEE""}, {""label"": ""Ambalaj"", ""percent"": 28.3, ""color"": ""#F99F1B""}]",93.6,4.76,4.65,3.84,176.51,194.93,457914,19,"[[100, 32, 90, 96, 90, 54, 75, 50, 15, 54, 5, 37, 72, 19, 62, 51, 90, 99, 90, 37, 78, 52, 85, 51], [17, 90, 33, 64, 7, 83, 75, 45, 82, 32, 86, 12, 85, 63, 93, 42, 87, 56, 18, 21, 9, 8, 42, 67], [18, 16, 34, 72, 21, 53, 62, 51, 89, 99, 93, 73, 57, 79, 99, 97, 23, 57, 87, 16, 66, 82, 56, 39], [8, 92, 51, 31, 60, 60, 34, 50, 16, 91, 51, 73, 86, 49, 11, 54, 39, 28, 19, 62, 15, 88, 31, 86], [85, 80, 6, 10, 46, 35, 20, 76, 30, 12, 74, 30, 79, 31, 33, 46, 22, 80, 4, 39, 22, 20, 73, 36], [26, 18, 88, 7, 20, 5, 49, 34, 79, 45, 6, 26, 37, 10, 20, 98, 57, 71, 18, 99, 12, 64, 61, 50], [69, 79, 17, 61, 68, 32, 82, 9, 97, 88, 70, 42, 62, 86, 7, 11, 65, 55, 58, 91, 17, 66, 95, 60]]",801,32.99,2.48,"[{""platform_id"": 1, ""percent"": 19.4}, {""platform_id"": 2, ""percent"": 20.2}, {""platform_id"": 3, ""percent"": 60.4}]","[{""stars"": 5, ""percent"": 25.6, ""count"": 1698}, {""stars"": 4, ""percent"": 23.2, ""count"": 1465}, {""stars"": 3, ""percent"": 20.7, ""count"": 1723}, {""stars"": 2, ""percent"": 20.6, ""count"": 1429}, {""stars"": 1, ""percent"": 15.1, ""count"": 1181}]","[{""text"": ""Geç"", ""weight"": 4}, {""text"": ""Lezzetsiz"", ""weight"": 4}, {""text"": ""Az porsiyon"", ""weight"": 2}, {""text"": ""Yağlı"", ""weight"": 4}, {""text"": ""Tatsız"", ""weight"": 3}, {""text"": ""Eksik"", ""weight"": 4}]","{""restaurant_courier"": {""fee"": 27, ""avg_cost"": 33.32, ""monthly_revenue"": 3778, ""churn_label"": ""ORTA""}, ""own_courier"": {""fee"": 0, ""avg_cost"": 31.4, ""monthly_revenue"": 1397416, ""churn_label"": ""ORTA""}}"
district,34-adalar,Dondurma,2026-05-01,Getir,2033,30003,42.2,34.5,26.8,27.1,8750.64,336147.24,4863234.3,,,,,,,,,,,,,,,,,,,,
district,34-adalar,Dondurma,2026-05-01,Yemeksepeti,1032,56462,26.5,44.1,36.2,41.8,8518.89,368401.84,7705649.34,,,,,,,,,,,,,,,,,,,,
district,34-arnavutköy,,2026-05-01,Uber Eats Trendyol Go,2232,76891,47.9,26.0,30.8,32.8,5139.61,276853.14,3773650.88,14.64,13.17,"[{""label"": ""Uzun bekleme"", ""percent"": 13.8, ""color"": ""#EE4444""}, {""label"": ""Yanlış ürün"", ""percent"": 18.9, ""color"": ""#A65EEA""}, {""label"": ""Lezzet"", ""percent"": 7.3, ""color"": ""#22CCEE""}, {""label"": ""Ürün stokta yok"", ""percent"": 12.0, ""color"": ""#66DD22""}, {""label"": ""Diğer"", ""percent"": 9.5, ""color"": ""#F99F1B""}]","[{""label"": ""Eksik Malzeme"", ""percent"": 18.6, ""color"": ""#EE4444""}, {""label"": ""Soğuk Geldi"", ""percent"": 21.2, ""color"": ""#A65EEA""}, {""label"": ""Yanlış Sipariş"", ""percent"": 43.0, ""color"": ""#22CCEE""}, {""label"": ""Ambalaj"", ""percent"": 22.4, ""color"": ""#F99F1B""}]",86.9,4.22,4.8,3.59,163.22,124.63,873089,24,"[[47, 48, 4, 27, 22, 76, 88, 55, 12, 22, 98, 85, 7, 15, 99, 71, 31, 52, 57, 62, 47, 24, 51, 43], [96, 45, 76, 80, 14, 10, 23, 24, 100, 83, 10, 90, 14, 38, 60, 88, 58, 66, 81, 60, 57, 38, 31, 100], [69, 18, 48, 59, 18, 40, 90, 90, 79, 66, 71, 89, 43, 9, 32, 54, 80, 11, 4, 30, 42, 31, 21, 36], [41, 45, 19, 4, 67, 99, 59, 26, 20, 52, 72, 94, 33, 68, 75, 89, 49, 13, 54, 98, 9, 59, 6, 62], [13, 44, 77, 58, 77, 55, 94, 85, 57, 41, 18, 55, 6, 45, 25, 83, 62, 92, 50, 15, 59, 17, 35, 59], [79, 55, 71, 14, 54, 43, 99, 47, 32, 46, 25, 13, 69, 85, 18, 71, 69, 28, 48, 48, 97, 86, 22, 34], [17, 22, 36, 29, 26, 81, 23, 87, 13, 26, 84, 67, 63, 100, 76, 78, 61, 91, 76, 86, 85, 83, 45, 84]]",1794,18.02,2.1,"[{""platform_id"": 1, ""percent"": 25.6}, {""platform_id"": 2, ""percent"": 30.5}, {""platform_id"": 3, ""percent"": 43.9}]","[{""stars"": 5, ""percent"": 16.9, ""count"": 615}, {""stars"": 4, ""percent"": 20.3, ""count"": 951}, {""stars"": 3, ""percent"": 19.7, ""count"": 1425}, {""stars"": 2, ""percent"": 10.8, ""count"": 1255}, {""stars"": 1, ""percent"": 21.6, ""count"": 457}]","[{""text"": ""Geç"", ""weight"": 4}, {""text"": ""Az porsiyon"", ""weight"": 5}, {""text"": ""Kötü"", ""weight"": 2}, {""text"": ""Tatsız"", ""weight"": 3}, {""text"": ""Yağlı"", ""weight"": 5}, {""text"": ""Bayat"", ""weight"": 4}]","{""restaurant_courier"": {""fee"": 19, ""avg_cost"": 44.15, ""monthly_revenue"": 6690, ""churn_label"": ""YÜKSEK""}, ""own_courier"": {""fee"": 0, ""avg_cost"": 37.16, ""monthly_revenue"": 1060120, ""churn_label"": ""DÜŞÜK""}}"
district,34-arnavutköy,,2026-05-01,Getir,2566,62344,29.3,30.0,33.8,36.0,9750.23,189686.55,4864259.91,,,,,,,,,,,,,,,,,,,,
district,34-arnavutköy,,2026-05-01,Yemeksepeti,1658,45389,35.2,31.8,37.0,44.7,11120.36,166477.96,3472529.74,,,,,,,,,,,,,,,,,,,,
district,34-arnavutköy,Balık & Deniz Ürünleri,2026-05-01,Uber Eats Trendyol Go,2083,38621,31.3,42.0,44.3,40.1,5654.11,170375.5,6318060.53,23.33,6.72,"[{""label"": ""Uzun bekleme"", ""percent"": 21.4, ""color"": ""#EE4444""}, {""label"": ""Yanlış ürün"", ""percent"": 21.6, ""color"": ""#A65EEA""}, {""label"": ""Lezzet"", ""percent"": 7.6, ""color"": ""#22CCEE""}, {""label"": ""Ürün stokta yok"", ""percent"": 22.7, ""color"": ""#66DD22""}, {""label"": ""Diğer"", ""percent"": 6.7, ""color"": ""#F99F1B""}]","[{""label"": ""Eksik Malzeme"", ""percent"": 21.2, ""color"": ""#EE4444""}, {""label"": ""Soğuk Geldi"", ""percent"": 22.9, ""color"": ""#A65EEA""}, {""label"": ""Yanlış Sipariş"", ""percent"": 29.9, ""color"": ""#22CCEE""}, {""label"": ""Ambalaj"", ""percent"": 12.6, ""color"": ""#F99F1B""}]",87.6,4.73,5.0,3.89,91.21,227.27,1366377,26,"[[6, 50, 43, 27, 31, 47, 66, 28, 32, 21, 23, 13, 41, 16, 68, 73, 98, 71, 8, 88, 47, 83, 20, 80], [52, 23, 24, 27, 92, 83, 25, 96, 60, 9, 56, 50, 90, 96, 34, 60, 82, 40, 100, 99, 61, 33, 72, 34], [43, 64, 28, 51, 90, 77, 60, 63, 40, 52, 68, 71, 57, 24, 29, 81, 21, 36, 10, 86, 65, 51, 74, 17], [95, 70, 19, 40, 14, 24, 38, 61, 69, 22, 59, 15, 32, 61, 48, 7, 57, 10, 54, 68, 51, 34, 53, 14], [51, 32, 7, 44, 16, 95, 87, 46, 22, 21, 8, 40, 64, 93, 21, 94, 64, 61, 82, 4, 14, 6, 36, 31], [23, 74, 97, 81, 71, 58, 18, 40, 34, 42, 19, 10, 34, 57, 85, 83, 62, 12, 18, 67, 80, 72, 6, 84], [69, 77, 34, 95, 22, 41, 58, 4, 82, 49, 34, 77, 57, 27, 89, 89, 14, 71, 50, 12, 71, 73, 68, 68]]",2769,15.41,3.31,"[{""platform_id"": 1, ""percent"": 16.5}, {""platform_id"": 2, ""percent"": 28.5}, {""platform_id"": 3, ""percent"": 54.9}]","[{""stars"": 5, ""percent"": 19.3, ""count"": 2030}, {""stars"": 4, ""percent"": 15.2, ""count"": 2414}, {""stars"": 3, ""percent"": 16.0, ""count"": 993}, {""stars"": 2, ""percent"": 24.7, ""count"": 1786}, {""stars"": 1, ""percent"": 7.1, ""count"": 1491}]","[{""text"": ""Yağlı"", ""weight"": 2}, {""text"": ""Soğuk"", ""weight"": 4}, {""text"": ""Bayat"", ""weight"": 4}, {""text"": ""Eksik"", ""weight"": 2}, {""text"": ""Tatsız"", ""weight"": 2}, {""text"": ""Lezzetsiz"", ""weight"": 1}]","{""restaurant_courier"": {""fee"": 29, ""avg_cost"": 25.74, ""monthly_revenue"": 4651, ""churn_label"": ""YÜKSEK""}, ""own_courier"": {""fee"": 0, ""avg_cost"": 36.87, ""monthly_revenue"": 743941, ""churn_label"": ""ORTA""}}"
district,34-arnavutköy,Balık & Deniz Ürünleri,2026-05-01,Getir,1770,53776,35.0,41.3,34.5,25.9,11115.91,221527.72,7310692.65,,,,,,,,,,,,,,,,,,,,
