neighborhood_id,category_id,platform_id,period_date,customers,ad_budget,campaign_rate,coupon_rate,flash_rate,joker_rate,daily_forecast,monthly_forecast,yearly_forecast
132,,1,2026-05-01,1251,6811,30.96,17.17,15.04,47.44,11593.58,292923.0,5379331.45
132,,2,2026-05-01,1390,45792,48.99,17.22,15.48,44.03,6570.49,598296.65,3078617.21
132,,3,2026-05-01,481,36653,41.88,48.48,25.93,22.9,2852.3,358806.69,1509495.83
347,,1,2026-05-01,818,15034,51.74,18.81,15.15,43.92,13371.94,302734.99,6913496.88
347,,2,2026-05-01,506,39648,37.56,34.32,33.93,41.67,17875.77,156260.98,5319878.48
347,,3,2026-05-01,994,16732,38.14,31.51,38.91,29.18,16135.83,225898.67,1082259.75
348,,1,2026-05-01,440,61472,35.65,14.53,28.12,39.99,9064.85,148377.24,3574358.76
348,,2,2026-05-01,757,70411,24.45,17.33,31.4,32.9,10097.57,510060.21,5698208.98
348,,3,2026-05-01,870,34834,54.81,23.48,38.31,14.96,13310.8,287262.69,2590977.98
350,,1,2026-05-01,1306,40716,49.13,40.44,23.24,33.27,2570.77,268220.94,4717929.61
350,,2,2026-05-01,1323,78234,31.72,34.75,8.09,18.77,4184.35,454267.64,7598597.61
350,,3,2026-05-01,1285,73593,37.91,21.11,20.94,21.62,10688.43,433866.89,5957082.43
503,,1,2026-05-01,705,42391,44.59,47.42,32.45,33.83,4094.8,534864.26,7723064.15
503,,2,2026-05-01,1004,72367,57.07,10.51,35.97,42.35,7447.19,311647.1,3419353.79
503,,3,2026-05-01,1211,21044,54.69,46.33,34.59,23.36,3638.34,281856.63,7888544.89
502,,1,2026-05-01,1240,79158,15.92,25.25,33.61,45.14,6785.68,87851.44,4227193.74
502,,2,2026-05-01,698,73906,33.28,35.38,34.75,40.15,13534.61,395514.87,5633189.59
502,,3,2026-05-01,572,24866,51.28,18.12,25.75,21.13,13895.36,378959.01,6612633.27
504,,1,2026-05-01,426,76221,30.19,22.86,6.74,12.67,2379.01,368558.84,6227249.04
504,,2,2026-05-01,1218,42032,51.49,41.58,27.92,29.15,9301.26,493815.5,6431553.67
504,,3,2026-05-01,879,6935,38.16,27.91,21.68,25.86,10505.56,322577.49,3707023.63
93,,1,2026-05-01,579,2837,57.64,31.29,32.94,30.73,8392.84,267429.0,3967070.21
93,,2,2026-05-01,938,75329,31.28,31.94,36.04,30.51,17700.01,295201.69,7095756.42
93,,3,2026-05-01,841,51862,54.2,44.87,36.66,13.28,6628.53,98488.48,6038858.76
94,,1,2026-05-01,516,18490,41.73,47.1,34.18,31.95,13195.24,284202.64,3269331.38
94,,2,2026-05-01,1322,27845,28.91,49.81,14.65,48.32,13698.76,345626.74,2432352.06
94,,3,2026-05-01,201,12665,48.35,44.34,39.39,29.11,17898.12,341867.19,1892227.56
96,,1,2026-05-01,1229,73675,57.49,21.13,16.36,34.39,6203.82,216415.76,1135377.12
96,,2,2026-05-01,1339,54597,36.93,25.03,32.33,23.13,17766.32,154399.09,4185522.78
96,,3,2026-05-01,1451,38507,42.78,14.27,10.07,18.45,6546.8,179994.9,5582574.05
573,,1,2026-05-01,1033,52167,15.42,47.27,7.56,38.64,2182.7,362095.74,3312834.32
573,,2,2026-05-01,417,17313,29.49,19.34,35.46,43.4,9341.35,461290.05,7134730.3
573,,3,2026-05-01,267,75133,18.8,18.34,31.23,24.61,15419.13,146985.04,2904580.89
574,,1,2026-05-01,1329,69020,44.1,29.92,5.54,24.75,10875.16,305161.37,6451655.22
574,,2,2026-05-01,1266,22014,33.24,23.99,25.49,41.39,5593.53,83258.46,1642560.2
574,,3,2026-05-01,589,19298,47.34,30.02,18.61,20.22,16415.7,130480.63,3131590.22
575,,1,2026-05-01,154,51454,26.28,46.3,21.68,17.06,16725.92,111174.03,7244039.52
575,,2,2026-05-01,1194,63788,43.26,34.51,32.56,43.11,13462.98,400741.59,3399347.19
575,,3,2026-05-01,1479,53860,58.69,11.37,39.74,36.8,9279.14,342682.84,4211331.1
61,,1,2026-05-01,414,10704,28.97,11.02,17.66,48.0,10512.9,549068.21,3239127.66
61,,2,2026-05-01,963,9728,50.31,19.33,14.83,10.74,12681.37,218785.22,3318057.08
61,,3,2026-05-01,1448,78836,18.07,30.9,21.37,10.94,10864.01,428639.37,898497.58
62,,1,2026-05-01,783,55931,44.28,36.73,20.3,41.75,10099.51,504020.32,6128605.96
62,,2,2026-05-01,1288,63725,29.26,47.68,20.24,18.62,10365.28,117278.12,7297763.16
62,,3,2026-05-01,1183,4646,43.58,15.1,23.81,45.95,9785.5,179048.04,2626603.24
63,,1,2026-05-01,643,71111,45.31,28.56,16.16,28.98,9827.21,517604.41,5760262.72
63,,2,2026-05-01,1111,73946,52.44,49.4,26.04,36.89,2572.68,277632.4,3577878.6
63,,3,2026-05-01,439,36512,53.25,33.8,16.66,17.53,15536.2,299147.66,7806433.44
208,,1,2026-05-01,765,31485,43.5,19.51,19.82,42.49,16939.01,514095.23,5356536.27
208,,2,2026-05-01,238,59154,34.74,20.25,9.07,37.94,5587.04,207564.93,4739114.78
208,,3,2026-05-01,1449,68553,27.05,12.0,14.28,27.13,2082.56,525517.8,3472256.16
209,,1,2026-05-01,1494,27832,26.81,25.14,26.64,17.4,4673.06,467763.98,7386660.4
209,,2,2026-05-01,383,41248,43.31,26.09,15.59,26.0,12877.89,66047.01,6008427.44
209,,3,2026-05-01,607,19395,49.51,10.78,34.12,43.98,15613.44,526853.89,7610487.72
210,,1,2026-05-01,853,49978,24.24,10.44,26.17,11.65,16140.89,597753.79,2045702.78
210,,2,2026-05-01,1069,44102,26.42,44.42,17.75,17.64,13621.09,251769.39,2609249.37
210,,3,2026-05-01,1406,66416,58.41,30.23,31.76,32.16,8926.8,194113.61,2004968.07
263,,1,2026-05-01,204,19054,24.52,10.67,30.33,27.96,2474.62,514200.84,7862142.65
263,,2,2026-05-01,815,27300,32.06,48.58,5.55,14.46,5070.59,182192.51,3410036.93
263,,3,2026-05-01,684,61826,17.15,18.37,28.07,14.65,4692.3,131676.03,2170650.1
264,,1,2026-05-01,481,52178,44.62,18.24,23.53,46.53,9502.97,426863.43,3040974.38
264,,2,2026-05-01,1360,8007,26.65,32.23,7.89,20.45,7954.97,516332.08,4360751.75
264,,3,2026-05-01,1124,12064,47.57,47.41,35.64,44.65,5586.04,208861.61,2329574.91
265,,1,2026-05-01,1396,48265,36.34,30.73,11.04,29.09,3822.21,376628.58,6852232.34
265,,2,2026-05-01,1465,75511,19.99,11.31,14.62,37.66,8505.88,190585.11,5256255.41
265,,3,2026-05-01,727,18048,33.15,28.31,37.6,19.43,4644.89,371470.47,1938700.69
6,,1,2026-05-01,1442,55491,29.31,49.0,21.02,17.89,9337.86,439585.22,2481723.86
6,,2,2026-05-01,813,46474,54.59,38.91,16.83,27.5,2736.34,327114.34,3002281.96
6,,3,2026-05-01,888,5074,32.92,14.72,23.48,30.66,7249.43,126201.64,2080683.36
7,,1,2026-05-01,1151,3867,58.84,49.41,32.93,11.19,2142.13,595994.81,3473238.7
7,,2,2026-05-01,428,28586,22.09,25.76,18.13,33.05,16182.99,187586.14,2263281.51
7,,3,2026-05-01,977,8917,29.34,32.31,31.66,10.22,5376.44,538022.24,6423599.36
8,,1,2026-05-01,702,48648,23.57,21.97,34.7,34.52,11934.17,568106.79,1451736.82
8,,2,2026-05-01,1360,35766,50.89,34.59,30.93,34.36,9043.81,241083.45,3958121.38
8,,3,2026-05-01,177,9253,42.44,41.23,22.16,43.75,5132.45,569443.45,6389540.17
830,,1,2026-05-01,736,40743,50.38,38.75,7.24,10.12,14752.37,567728.51,4232421.08
830,,2,2026-05-01,748,44883,48.08,44.75,17.5,13.82,15389.93,545689.54,1225555.95
830,,3,2026-05-01,461,6360,15.36,12.27,10.45,49.6,14661.47,71439.95,5236108.85
831,,1,2026-05-01,635,48953,22.66,44.41,26.35,38.31,12437.29,78115.55,6792637.3
831,,2,2026-05-01,446,19245,17.67,22.19,5.08,23.88,15775.13,327926.13,4988687.32
831,,3,2026-05-01,1045,78838,21.57,17.3,32.21,35.18,17924.14,95713.86,5319049.83
832,,1,2026-05-01,158,59645,35.85,30.08,28.28,24.63,13431.75,116820.47,5620496.86
832,,2,2026-05-01,655,69016,47.97,12.42,34.65,14.89,8394.08,370885.76,6586165.26
832,,3,2026-05-01,599,54539,56.88,18.89,29.76,15.52,7555.94,163430.21,6283760.59
513,,1,2026-05-01,401,13606,37.25,17.97,19.53,18.33,6715.81,326614.42,6267411.87
513,,2,2026-05-01,1291,8068,23.88,38.89,38.92,35.16,4632.79,173594.59,5627954.83
513,,3,2026-05-01,1065,27463,15.87,38.11,36.32,42.85,2176.16,310560.05,5524493.81
514,,1,2026-05-01,232,10320,37.28,49.83,19.46,28.13,10415.21,560413.04,2766763.83
514,,2,2026-05-01,556,61073,17.44,16.36,20.51,13.04,10311.4,165741.99,7745406.9
514,,3,2026-05-01,964,44564,19.24,18.87,6.31,39.22,10036.0,459339.6,7799955.75
515,,1,2026-05-01,310,27515,53.14,47.25,33.99,21.66,13223.02,252782.71,5353250.97
515,,2,2026-05-01,370,25420,36.24,23.93,19.46,35.47,17049.48,215886.64,3911835.53
515,,3,2026-05-01,1419,70693,31.73,27.06,8.9,21.47,11433.73,63050.15,1311953.26
45,,1,2026-05-01,675,22323,20.75,30.01,14.92,28.59,10882.33,379718.68,2590437.87
45,,2,2026-05-01,214,41210,25.75,10.38,12.31,26.06,11436.89,75200.39,1613942.84
45,,3,2026-05-01,726,44814,19.37,49.42,38.39,48.0,8177.41,318324.07,5965561.32
44,,1,2026-05-01,760,10502,43.24,14.35,21.34,28.61,16788.01,379367.09,5271179.89
44,,2,2026-05-01,1041,44008,57.42,38.66,19.71,22.2,11439.43,483691.11,5580980.38
44,,3,2026-05-01,1253,74750,53.53,33.92,17.24,24.94,4359.38,83373.63,6277453.35
46,,1,2026-05-01,666,41398,46.39,46.71,26.66,37.5,7236.11,305756.47,4566584.93
46,,2,2026-05-01,305,13990,48.28,23.61,24.44,41.9,5004.87,373345.94,5324085.36
46,,3,2026-05-01,439,49726,36.26,22.21,36.76,35.7,8126.97,151252.21,1209149.96
795,,1,2026-05-01,930,11705,47.13,10.25,36.08,18.71,16825.09,254006.67,4702615.4
795,,2,2026-05-01,385,29634,20.81,15.71,8.29,14.42,12878.36,582468.29,6068420.41
795,,3,2026-05-01,595,19205,47.56,13.57,15.16,46.36,5186.41,247642.44,3845553.91
796,,1,2026-05-01,1160,17241,57.9,41.98,19.44,17.97,5796.99,191361.66,6589430.09
796,,2,2026-05-01,1477,10900,56.29,27.72,20.18,42.81,15890.67,343789.09,1845288.13
796,,3,2026-05-01,511,68199,21.47,18.24,6.77,34.14,6867.89,413111.74,5871714.4
797,,1,2026-05-01,638,16858,49.88,16.48,36.88,34.28,7482.52,184763.03,921103.38
797,,2,2026-05-01,536,45082,16.47,39.79,37.56,17.69,17669.1,92130.63,4939304.84
797,,3,2026-05-01,392,8920,54.84,18.99,35.35,24.74,4873.81,448761.41,5421892.09
594,,1,2026-05-01,667,31789,26.43,49.02,26.59,11.53,17693.21,432342.11,7255928.48
594,,2,2026-05-01,427,10205,39.65,19.86,39.86,44.02,12932.86,466870.94,1761110.94
594,,3,2026-05-01,1092,43514,52.41,37.27,34.04,18.97,9973.45,110706.35,7743055.92
595,,1,2026-05-01,931,65565,38.37,45.04,37.41,26.32,7653.03,125808.35,2382148.27
595,,2,2026-05-01,531,19015,57.61,35.13,39.94,10.44,14432.09,263040.28,6978608.92
595,,3,2026-05-01,386,55561,52.36,13.8,37.53,12.59,6241.96,420644.12,5581194.4
596,,1,2026-05-01,1299,42580,30.32,22.64,23.01,24.08,11522.96,466045.64,3750772.99
596,,2,2026-05-01,284,25313,19.19,30.76,20.16,37.15,10599.31,441994.21,1343351.83
596,,3,2026-05-01,473,67573,51.65,39.96,15.85,44.72,6030.64,115407.45,6319356.0
553,,1,2026-05-01,688,58411,30.86,29.87,15.2,15.18,2155.7,419862.2,7992026.8
553,,2,2026-05-01,1455,61874,44.44,22.63,19.35,30.41,2507.47,263515.93,4666863.29
553,,3,2026-05-01,895,72627,24.35,13.72,23.73,18.37,6021.11,496603.18,2750317.18
554,,1,2026-05-01,357,37206,48.68,23.94,31.59,37.74,5851.08,403831.61,6029427.1
554,,2,2026-05-01,1236,40238,56.5,41.22,33.62,20.3,15431.64,389442.01,4407544.37
554,,3,2026-05-01,1367,57624,15.97,10.9,8.04,28.96,15737.87,161388.17,815350.28
555,,1,2026-05-01,749,74683,23.03,29.79,15.3,33.44,2741.5,341961.9,5507599.39
555,,2,2026-05-01,1416,55775,57.89,28.44,24.83,14.16,3016.9,76321.4,3130480.84
555,,3,2026-05-01,1346,44741,45.27,20.61,25.11,15.91,5815.33,552125.49,3547292.02
612,,1,2026-05-01,1433,75865,31.81,42.57,20.46,33.01,4710.56,323043.86,2215947.17
612,,2,2026-05-01,867,43919,58.33,18.13,10.42,21.64,6969.2,464341.08,2494479.24
612,,3,2026-05-01,1269,32392,56.61,46.7,31.31,39.16,16183.78,513092.31,4190492.69
613,,1,2026-05-01,337,16403,50.08,19.46,7.13,49.26,8905.69,356211.41,7381165.73
613,,2,2026-05-01,521,4446,38.72,31.65,18.74,37.44,3669.73,149666.44,6224540.15
613,,3,2026-05-01,1161,42067,24.17,39.67,27.32,19.0,16253.66,187978.18,6294469.24
614,,1,2026-05-01,436,3312,15.45,28.95,16.58,26.81,7934.27,255650.17,1703119.11
614,,2,2026-05-01,343,35743,53.59,17.9,26.65,45.78,16412.95,467323.85,1469319.37
614,,3,2026-05-01,1144,35140,38.61,41.52,29.74,43.51,6327.35,250345.66,6286394.63
778,,1,2026-05-01,1061,24926,19.33,43.97,16.52,25.79,12316.93,258501.01,5656783.2
778,,2,2026-05-01,476,43880,15.26,32.55,21.27,11.35,7513.11,462383.67,4471954.58
778,,3,2026-05-01,588,45741,36.72,27.63,17.41,16.27,3327.65,132636.04,2189311.72
779,,1,2026-05-01,709,65054,42.27,48.18,22.75,47.99,5064.85,217271.07,1800958.95
779,,2,2026-05-01,309,18471,23.22,22.79,5.98,32.17,11504.05,598161.48,3806651.5
779,,3,2026-05-01,500,12311,48.16,24.94,7.59,49.25,6757.63,200287.12,3674561.3
780,,1,2026-05-01,924,66224,28.2,48.52,33.59,27.71,2757.04,91081.96,6135613.0
780,,2,2026-05-01,897,63888,42.89,23.14,14.37,32.58,9540.59,437636.09,2989275.73
780,,3,2026-05-01,1498,21045,18.66,42.38,33.2,40.16,8359.65,576130.67,1649826.4
718,,1,2026-05-01,761,52833,27.33,27.59,33.41,12.44,14347.74,274335.68,7608933.67
718,,2,2026-05-01,164,30091,40.18,15.73,20.52,35.79,8473.43,465478.95,4880694.38
718,,3,2026-05-01,985,63629,28.71,42.14,7.97,42.6,6827.53,387819.88,4886338.24
719,,1,2026-05-01,846,15122,42.99,28.69,14.3,47.58,13433.22,537142.1,5832583.91
719,,2,2026-05-01,676,43728,58.47,25.66,9.4,11.51,2085.04,290663.32,6992569.79
719,,3,2026-05-01,292,33707,47.92,23.27,20.56,25.09,14011.4,97777.11,2616286.93
720,,1,2026-05-01,1358,59673,52.33,15.8,13.57,44.84,5642.86,537340.74,3498253.62
720,,2,2026-05-01,296,72741,54.83,15.76,23.45,45.99,2062.83,277112.17,1880980.08
720,,3,2026-05-01,1200,55230,26.72,46.44,16.57,10.88,13922.96,311142.49,5337400.08
863,,1,2026-05-01,874,37114,58.1,46.1,38.78,46.83,7465.49,525269.62,4541660.27
863,,2,2026-05-01,1042,10278,48.79,14.97,24.9,24.45,5358.76,168116.16,2388519.11
863,,3,2026-05-01,1019,2012,17.19,38.62,30.91,42.47,9415.76,575217.62,5534735.49
865,,1,2026-05-01,758,7279,57.73,47.59,9.27,10.05,15278.1,166110.89,3288957.47
865,,2,2026-05-01,632,23655,43.56,32.89,5.27,19.33,17278.46,561517.73,7879635.97
865,,3,2026-05-01,679,33619,37.89,33.35,21.8,40.01,8632.31,288439.69,4244013.1
866,,1,2026-05-01,1202,75776,48.13,20.0,18.41,36.54,10701.61,561810.93,4115896.75
866,,2,2026-05-01,616,67037,47.81,23.83,37.52,41.51,9471.92,391911.45,4563255.08
866,,3,2026-05-01,906,50381,22.76,41.78,32.53,27.53,7921.45,590697.52,2904159.7
104,,1,2026-05-01,541,46332,16.17,19.37,34.38,48.93,5367.35,86292.2,4307812.76
104,,2,2026-05-01,504,74651,16.21,47.37,14.15,12.45,11527.06,226937.34,6686779.3
104,,3,2026-05-01,392,62884,18.54,22.13,9.52,12.63,2613.85,335968.17,2085851.32
105,,1,2026-05-01,1373,27026,44.54,18.18,11.79,38.79,17317.15,465960.97,7826325.7
105,,2,2026-05-01,1347,4512,56.73,12.19,25.51,13.4,6757.09,303680.79,2705274.0
105,,3,2026-05-01,1453,10341,47.47,48.27,21.3,30.16,9651.11,122780.01,4419323.64
106,,1,2026-05-01,1108,76538,57.43,48.05,23.28,12.64,14777.81,411276.48,4590703.65
106,,2,2026-05-01,972,34776,28.52,18.87,14.25,23.72,14299.79,161583.83,3677586.43
106,,3,2026-05-01,745,39708,28.54,15.03,38.57,12.91,9852.89,438580.78,6155932.19
218,,1,2026-05-01,586,34075,24.76,19.21,15.71,13.45,15950.25,447673.73,7395210.13
218,,2,2026-05-01,1088,71565,52.07,15.12,39.74,42.76,3516.87,296097.26,4219161.95
218,,3,2026-05-01,969,11201,18.05,25.8,16.54,19.58,2192.89,186812.85,7382754.85
219,,1,2026-05-01,510,40675,59.47,42.0,17.04,14.21,12329.7,396583.98,2959629.6
219,,2,2026-05-01,1247,34650,20.57,48.87,7.8,39.12,11249.0,425071.02,7437651.9
219,,3,2026-05-01,729,38479,47.53,11.68,11.92,30.51,9885.24,522928.34,1774860.0
220,,1,2026-05-01,1246,9508,50.94,27.53,12.11,43.98,2201.59,199976.88,1505972.51
220,,2,2026-05-01,262,55242,54.1,41.47,21.89,29.81,4520.56,164039.28,1925125.89
220,,3,2026-05-01,162,17743,19.24,45.4,30.05,20.43,8345.07,178329.87,4548618.08
140,,1,2026-05-01,932,25803,36.55,10.5,35.74,18.92,10213.22,175025.51,859702.14
140,,2,2026-05-01,946,20541,24.95,22.12,6.4,41.78,15230.58,268415.28,7058780.9
140,,3,2026-05-01,700,27112,31.02,19.92,24.29,22.21,11907.26,408059.93,6460102.67
141,,1,2026-05-01,465,54853,54.75,41.63,20.74,37.31,12802.98,334197.03,4001255.36
141,,2,2026-05-01,670,31749,52.43,47.11,25.98,38.19,5516.67,596479.14,7373317.42
141,,3,2026-05-01,235,4594,39.18,20.01,19.39,37.49,7013.01,119808.09,6097245.66
142,,1,2026-05-01,1415,23942,30.45,35.87,16.72,20.54,13185.61,446941.09,7402583.6
142,,2,2026-05-01,715,47448,24.08,42.05,8.08,45.52,15693.78,186037.74,2029783.3
142,,3,2026-05-01,584,11103,58.29,49.84,33.44,38.41,12420.72,434009.22,6336416.4
661,,1,2026-05-01,1477,46475,36.54,47.92,34.44,23.34,5319.39,373102.02,5960764.58
661,,2,2026-05-01,1325,45845,24.11,15.77,19.9,13.11,16723.45,376130.85,1459281.67
661,,3,2026-05-01,1472,32914,47.13,18.61,17.26,34.19,10292.42,337327.21,5049537.75
664,,1,2026-05-01,673,39015,58.71,18.74,14.41,14.31,13973.86,345993.46,2171564.2
664,,2,2026-05-01,327,76023,45.65,25.22,5.73,37.75,5377.36,388754.48,5896361.85
664,,3,2026-05-01,585,4113,22.97,26.88,18.26,25.99,5900.25,169892.79,7812579.97
663,,1,2026-05-01,976,41562,31.34,14.0,27.76,46.91,5613.97,406162.02,2952364.91
663,,2,2026-05-01,242,74801,52.21,40.54,9.35,11.29,2561.73,83791.94,7827730.06
663,,3,2026-05-01,432,17586,24.62,21.43,5.46,24.2,10914.15,217432.62,4413627.93
753,,1,2026-05-01,269,53696,59.75,38.84,24.86,49.8,6738.47,256502.25,4642504.31
753,,2,2026-05-01,960,64476,35.05,46.8,25.34,38.57,13804.0,285536.73,3160183.37
753,,3,2026-05-01,281,36450,59.13,33.39,8.66,44.92,10891.22,197785.86,3539752.64
754,,1,2026-05-01,778,73008,20.57,24.93,22.55,46.25,9501.01,165266.99,5566706.04
754,,2,2026-05-01,1181,14404,52.14,10.2,13.55,45.07,13231.08,142090.0,6807307.65
754,,3,2026-05-01,909,24785,28.88,30.14,13.65,14.45,5116.04,222210.34,6083506.71
755,,1,2026-05-01,1091,57493,45.36,35.68,29.32,22.26,14958.1,87831.46,5357740.42
755,,2,2026-05-01,605,60964,49.91,31.29,39.74,30.99,7269.59,121134.18,3406866.28
755,,3,2026-05-01,155,10795,51.76,15.18,35.57,41.61,10764.06,531713.7,7531100.15
537,,1,2026-05-01,1462,67598,18.52,44.45,14.12,36.05,16520.52,256499.42,952630.25
537,,2,2026-05-01,1325,2500,39.79,17.39,5.6,47.04,7479.53,450143.03,2633444.3
537,,3,2026-05-01,239,62493,24.62,18.28,20.42,31.19,6289.36,468891.0,3015478.6
536,,1,2026-05-01,1231,40827,58.18,44.2,11.99,37.04,13602.35,409733.32,3272719.53
536,,2,2026-05-01,542,69054,39.49,12.06,31.35,38.65,7707.36,256522.84,6581166.24
536,,3,2026-05-01,1480,7393,58.81,16.81,13.3,36.31,16353.14,198924.63,3807602.33
538,,1,2026-05-01,840,14904,32.23,44.22,13.62,45.02,12760.42,535068.56,1534620.27
538,,2,2026-05-01,527,40180,38.45,15.0,26.4,36.38,9154.18,432540.7,6679614.31
538,,3,2026-05-01,664,74986,30.96,34.52,21.47,39.96,8150.18,434196.45,7073547.77
71,,1,2026-05-01,489,8868,37.93,13.72,22.93,31.99,7616.45,346500.83,1280591.91
71,,2,2026-05-01,576,25100,25.11,34.4,19.78,49.57,16913.54,80621.54,3410191.45
71,,3,2026-05-01,629,57853,46.56,48.31,15.44,46.25,7006.64,372731.37,6579591.21
73,,1,2026-05-01,237,12946,17.6,47.68,17.06,30.16,4773.55,314249.33,3463928.81
73,,2,2026-05-01,198,5853,40.96,44.15,16.99,19.29,17697.5,231601.73,5741799.15
73,,3,2026-05-01,488,9437,29.12,21.16,19.01,21.85,2373.05,357848.15,4242627.61
72,,1,2026-05-01,1343,28818,50.16,34.44,34.46,35.26,14597.63,152904.21,3277886.26
72,,2,2026-05-01,1056,67563,34.93,33.03,14.05,40.96,14601.13,144698.89,2730042.76
72,,3,2026-05-01,438,54052,32.86,13.8,28.49,30.95,7930.34,540523.27,4876766.95
696,,1,2026-05-01,1367,32310,15.5,24.64,39.27,43.4,7030.16,71970.4,1216023.64
696,,2,2026-05-01,195,29062,37.49,26.11,14.8,45.12,5859.77,568626.03,7778887.05
696,,3,2026-05-01,920,70797,30.94,22.34,6.25,49.36,3390.18,405638.45,3061479.35
697,,1,2026-05-01,1461,5122,26.99,16.45,25.09,42.2,7369.17,277667.16,3751132.44
697,,2,2026-05-01,510,17804,29.84,16.87,38.26,12.68,9139.09,546427.52,4550008.85
697,,3,2026-05-01,1452,47283,35.13,15.16,7.93,27.21,17603.67,492345.21,7469858.68
698,,1,2026-05-01,451,44217,44.75,42.01,28.37,46.66,6118.52,167772.28,3750387.47
698,,2,2026-05-01,611,54154,41.94,37.07,23.27,41.52,10822.16,247708.04,5347098.49
698,,3,2026-05-01,503,24031,49.26,10.5,5.8,38.53,11977.06,541644.81,5900181.5
287,,1,2026-05-01,1248,57108,18.65,31.2,29.93,38.4,10461.03,598256.04,2078715.72
287,,2,2026-05-01,497,57504,18.41,34.99,9.99,39.01,14238.88,583480.09,3365213.13
287,,3,2026-05-01,631,35360,55.67,43.09,10.14,30.02,2194.66,307862.91,7856938.04
288,,1,2026-05-01,1125,59698,42.59,15.13,37.35,21.49,7681.85,102083.03,1039350.13
288,,2,2026-05-01,1088,62115,19.62,34.56,12.59,49.37,8857.91,338584.82,7456531.64
288,,3,2026-05-01,1339,34283,44.77,31.33,25.31,17.81,11098.47,217846.85,2776727.04
289,,1,2026-05-01,1033,45278,42.66,41.25,35.17,29.12,13398.12,526499.98,4356098.82
289,,2,2026-05-01,1059,50811,43.1,34.84,28.66,29.24,15941.75,93456.15,820024.98
289,,3,2026-05-01,524,75464,35.25,20.53,24.68,20.16,6656.82,153278.16,5792946.27
733,,1,2026-05-01,1016,75973,48.27,39.47,23.21,12.48,7163.32,433856.54,2686434.77
