district_id,category_id,platform_id,period_date,min_basket,avg_rating,monthly_revenue,delivery_type,discount_rate,coupon_rate
34-beylikdüzü,1,1,2026-05-01,80.71,4.12,1127005,platform,7.13,5.84
34-beylikdüzü,2,2,2026-05-01,70.48,4.45,794912,own,18.96,17.56
34-beylikdüzü,3,3,2026-05-01,70.05,4.12,913062,own,5.08,20.95
34-beylikdüzü,4,1,2026-05-01,74.93,3.9,961197,platform,21.48,6.32
34-beylikdüzü,5,2,2026-05-01,74.47,3.6,478066,own,10.87,20.13
34-büyükçekmece,1,1,2026-05-01,54.23,4.08,882701,own,26.14,6.53
34-büyükçekmece,2,2,2026-05-01,81.42,3.64,449018,platform,6.94,7.95
34-büyükçekmece,3,3,2026-05-01,55.16,4.19,719204,platform,5.31,6.21
34-büyükçekmece,4,1,2026-05-01,55.75,4.11,1125808,platform,21.89,10.82
34-büyükçekmece,5,2,2026-05-01,65.66,3.86,888992,platform,29.83,15.98
34-silivri,1,1,2026-05-01,57.47,3.4,895918,platform,12.24,6.53
34-silivri,2,2,2026-05-01,65.26,4.49,681707,own,10.25,23.91
34-silivri,3,3,2026-05-01,53.43,4.0,548625,own,28.82,7.65
34-silivri,4,1,2026-05-01,77.81,3.91,1329942,platform,22.58,9.63
34-silivri,5,2,2026-05-01,80.91,3.88,426040,platform,5.09,14.83
34-çatalca,1,1,2026-05-01,63.03,3.66,547542,own,13.6,11.32
34-çatalca,2,2,2026-05-01,78.61,3.3,1187201,own,25.98,7.4
34-çatalca,3,3,2026-05-01,82.06,4.16,1345361,own,11.33,6.3
34-çatalca,4,1,2026-05-01,60.61,4.34,480111,own,28.14,20.11
34-çatalca,5,2,2026-05-01,79.17,3.64,454124,own,20.87,7.98
34-sultangazi,1,1,2026-05-01,83.84,3.82,730932,platform,24.33,20.7
34-sultangazi,2,2,2026-05-01,62.11,3.33,1198653,own,27.84,23.81
34-sultangazi,3,3,2026-05-01,66.97,4.16,451879,own,16.27,20.05
34-sultangazi,4,1,2026-05-01,70.78,3.64,451356,platform,9.27,13.3
34-sultangazi,5,2,2026-05-01,56.27,3.61,1174630,own,15.16,9.77
34-esenyurt,1,1,2026-05-01,64.33,4.1,525559,platform,21.08,6.5
34-esenyurt,2,2,2026-05-01,65.02,4.27,977122,platform,16.32,11.66
34-esenyurt,3,3,2026-05-01,75.37,3.81,974394,platform,11.1,8.49
34-esenyurt,4,1,2026-05-01,67.23,3.68,786196,own,25.23,9.04
34-esenyurt,5,2,2026-05-01,45.8,4.34,801434,own,23.65,9.2
34-başakşehir,1,1,2026-05-01,55.81,4.2,922343,own,19.36,12.2
34-başakşehir,2,2,2026-05-01,72.47,3.94,1228702,platform,7.31,22.94
34-başakşehir,3,3,2026-05-01,60.38,4.07,852813,own,26.22,22.46
34-başakşehir,4,1,2026-05-01,45.87,3.34,1143977,own,29.21,14.8
34-başakşehir,5,2,2026-05-01,47.93,4.42,1373247,own,29.31,9.97
34-arnavutköy,1,1,2026-05-01,49.36,3.49,947740,platform,28.54,19.43
34-arnavutköy,2,2,2026-05-01,70.89,4.22,879540,platform,18.79,5.79
34-arnavutköy,3,3,2026-05-01,76.29,3.58,1364606,platform,21.14,11.08
34-arnavutköy,4,1,2026-05-01,50.12,3.6,1067199,own,22.46,7.24
34-arnavutköy,5,2,2026-05-01,47.81,3.93,1011205,platform,14.7,9.47
34-üsküdar,1,1,2026-05-01,69.04,3.31,716167,own,11.97,11.33
34-üsküdar,2,2,2026-05-01,78.58,3.59,951842,platform,18.68,5.59
34-üsküdar,3,3,2026-05-01,61.47,4.08,457995,platform,9.85,22.7
34-üsküdar,4,1,2026-05-01,70.89,3.4,638908,own,28.13,9.54
34-üsküdar,5,2,2026-05-01,46.36,3.71,840985,own,22.06,8.96
34-kadıköy,1,1,2026-05-01,76.88,4.19,929403,platform,10.13,24.4
34-kadıköy,2,2,2026-05-01,57.47,4.28,642020,own,10.54,20.21
34-kadıköy,3,3,2026-05-01,56.8,4.44,919846,platform,27.41,14.7
34-kadıköy,4,1,2026-05-01,81.42,3.37,1023695,platform,28.05,6.09
34-kadıköy,5,2,2026-05-01,45.95,4.02,835562,platform,22.75,8.68
34-ataşehir,1,1,2026-05-01,62.99,4.15,729462,platform,29.94,23.63
34-ataşehir,2,2,2026-05-01,58.17,3.52,1381342,own,5.8,18.29
34-ataşehir,3,3,2026-05-01,60.14,3.75,747810,own,9.23,5.06
34-ataşehir,4,1,2026-05-01,56.19,3.72,1328170,platform,19.03,20.18
34-ataşehir,5,2,2026-05-01,60.21,4.22,723694,own,7.19,19.11
34-ümraniye,1,1,2026-05-01,52.83,3.95,868029,platform,13.08,19.75
34-ümraniye,2,2,2026-05-01,63.98,4.06,660060,own,6.02,5.7
34-ümraniye,3,3,2026-05-01,47.5,4.4,669500,platform,23.68,22.97
34-ümraniye,4,1,2026-05-01,58.56,3.63,1046948,platform,11.55,19.33
34-ümraniye,5,2,2026-05-01,57.66,3.63,403954,platform,5.61,9.68
34-maltepe,1,1,2026-05-01,64.01,4.45,1214068,own,24.74,23.27
34-maltepe,2,2,2026-05-01,77.59,3.46,920660,platform,5.22,23.62
34-maltepe,3,3,2026-05-01,57.13,4.13,558665,platform,13.19,11.39
34-maltepe,4,1,2026-05-01,59.47,4.24,482853,platform,14.79,8.2
34-maltepe,5,2,2026-05-01,61.31,4.08,905088,own,9.02,13.53
34-kartal,1,1,2026-05-01,49.21,3.39,1054942,platform,10.21,13.42
34-kartal,2,2,2026-05-01,84.54,4.47,581604,platform,8.32,14.22
34-kartal,3,3,2026-05-01,80.65,3.58,964725,platform,24.49,10.88
34-kartal,4,1,2026-05-01,56.18,3.62,666397,own,9.98,9.95
34-kartal,5,2,2026-05-01,54.81,3.48,1327117,platform,13.16,12.92
34-pendik,1,1,2026-05-01,84.7,3.91,642620,platform,21.33,24.82
34-pendik,2,2,2026-05-01,49.09,3.87,1258891,platform,26.01,23.29
34-pendik,3,3,2026-05-01,46.61,3.65,525007,platform,9.74,24.46
34-pendik,4,1,2026-05-01,68.33,4.42,790318,platform,16.23,10.2
34-pendik,5,2,2026-05-01,76.11,4.43,510918,own,10.44,12.37
34-tuzla,1,1,2026-05-01,50.65,3.54,667296,platform,19.99,18.03
34-tuzla,2,2,2026-05-01,53.14,3.31,743145,own,21.96,8.7
34-tuzla,3,3,2026-05-01,57.49,3.54,1233912,own,18.7,6.27
34-tuzla,4,1,2026-05-01,49.06,3.77,976861,platform,20.98,6.82
34-tuzla,5,2,2026-05-01,51.55,4.13,829694,own,21.7,13.36
34-sultanbeyli,1,1,2026-05-01,47.05,4.19,1326621,own,15.35,5.36
34-sultanbeyli,2,2,2026-05-01,75.67,4.26,1075784,platform,14.77,13.1
34-sultanbeyli,3,3,2026-05-01,82.68,3.82,564172,own,7.84,6.81
34-sultanbeyli,4,1,2026-05-01,68.11,3.74,1210606,platform,8.25,6.03
34-sultanbeyli,5,2,2026-05-01,50.7,4.27,815990,platform,19.32,23.54
34-sancaktepe,1,1,2026-05-01,74.49,3.51,764846,own,9.05,8.44
34-sancaktepe,2,2,2026-05-01,47.68,3.76,1190160,platform,12.54,21.75
34-sancaktepe,3,3,2026-05-01,46.74,4.4,729804,platform,20.19,17.73
34-sancaktepe,4,1,2026-05-01,48.45,4.15,1121647,platform,21.01,22.13
34-sancaktepe,5,2,2026-05-01,69.84,4.04,605639,own,9.57,9.36
34-çekmeköy,1,1,2026-05-01,60.99,3.92,802208,own,8.08,9.94
34-çekmeköy,2,2,2026-05-01,74.0,4.38,443095,platform,21.7,11.48
34-çekmeköy,3,3,2026-05-01,60.59,3.85,1290251,own,21.23,11.16
34-çekmeköy,4,1,2026-05-01,54.97,3.77,785299,own,17.59,8.58
34-çekmeköy,5,2,2026-05-01,45.14,4.48,887874,platform,16.17,17.37
34-beykoz,1,1,2026-05-01,77.76,4.3,1249901,own,15.01,6.34
34-beykoz,2,2,2026-05-01,59.34,3.74,1241253,own,17.61,18.14
34-beykoz,3,3,2026-05-01,46.63,3.46,1366919,own,24.44,15.23
34-beykoz,4,1,2026-05-01,47.17,3.9,796217,platform,5.65,6.33
34-beykoz,5,2,2026-05-01,69.56,4.13,514911,platform,8.29,22.71
34-şile,1,1,2026-05-01,56.52,4.27,1233592,platform,22.15,19.42
34-şile,2,2,2026-05-01,53.85,4.3,1040097,own,8.97,22.93
34-şile,3,3,2026-05-01,56.0,4.28,550546,own,17.56,23.4
34-şile,4,1,2026-05-01,53.33,3.62,930586,platform,12.98,5.74
34-şile,5,2,2026-05-01,52.28,3.49,1381890,own,21.99,22.91
34-adalar,1,1,2026-05-01,51.75,4.24,520668,platform,20.91,12.2
34-adalar,2,2,2026-05-01,79.92,3.97,1008219,platform,11.3,15.71
34-adalar,3,3,2026-05-01,79.26,4.19,789510,own,14.39,12.38
34-adalar,4,1,2026-05-01,50.85,3.7,485338,own,10.75,17.31
34-adalar,5,2,2026-05-01,83.32,3.66,941177,own,12.75,24.32
