scope,district_id,neighborhood,category,period_date,platform,customers,ad_budget,campaign_rate,coupon_rate,flash_rate,joker_rate,daily_forecast,monthly_forecast,yearly_forecast,cancel_rate,return_rate,cancel_reasons_json,return_reasons_json,area_performance_score,area_rating,highest_rating,lowest_rating,avg_basket,avg_menu_price,avg_monthly_revenue,courier_fee,hourly_heatmap_json,negative_comment_total,negative_comment_rate,negative_avg_rating,platform_negative_distribution_json,rating_distribution_json,negative_word_cloud_json,courier_comparison_json
neighborhood,34-adalar,Burgazada,Çiğ Köfte,2026-05-01,Getir,2455,45629,47.5,29.3,33.2,44.4,8591.62,371996.5,4033916.22,,,,,,,,,,,,,,,,,,,,
neighborhood,34-adalar,Burgazada,Çiğ Köfte,2026-05-01,Yemeksepeti,2888,59028,41.2,31.9,32.8,42.6,11070.44,273306.63,3042936.68,,,,,,,,,,,,,,,,,,,,
neighborhood,34-adalar,Heybeliada,,2026-05-01,Uber Eats Trendyol Go,1894,43214,25.5,37.9,38.0,33.5,14136.04,319694.18,3266695.38,9.36,7.99,"[{""label"": ""Uzun bekleme"", ""percent"": 20.5, ""color"": ""#EE4444""}, {""label"": ""Yanlış ürün"", ""percent"": 14.0, ""color"": ""#A65EEA""}, {""label"": ""Lezzet"", ""percent"": 18.8, ""color"": ""#22CCEE""}, {""label"": ""Ürün stokta yok"", ""percent"": 19.8, ""color"": ""#66DD22""}, {""label"": ""Diğer"", ""percent"": 15.1, ""color"": ""#F99F1B""}]","[{""label"": ""Eksik Malzeme"", ""percent"": 10.7, ""color"": ""#EE4444""}, {""label"": ""Soğuk Geldi"", ""percent"": 29.7, ""color"": ""#A65EEA""}, {""label"": ""Yanlış Sipariş"", ""percent"": 48.9, ""color"": ""#22CCEE""}, {""label"": ""Ambalaj"", ""percent"": 27.8, ""color"": ""#F99F1B""}]",93.2,3.91,4.54,3.49,114.55,130.8,565927,23,"[[31, 57, 12, 54, 10, 51, 5, 93, 27, 80, 85, 100, 78, 82, 9, 60, 55, 15, 78, 19, 84, 68, 18, 98], [43, 82, 72, 30, 56, 67, 70, 37, 82, 5, 34, 21, 15, 61, 60, 39, 76, 93, 15, 19, 65, 59, 60, 46], [51, 6, 92, 89, 9, 39, 28, 67, 47, 86, 29, 98, 17, 46, 61, 49, 86, 89, 20, 26, 83, 45, 10, 95], [72, 35, 75, 54, 8, 29, 78, 11, 31, 58, 67, 41, 75, 58, 60, 50, 54, 64, 51, 30, 45, 13, 44, 35], [37, 88, 93, 67, 40, 29, 80, 21, 67, 4, 70, 17, 25, 11, 62, 73, 9, 95, 7, 30, 67, 73, 15, 4], [18, 4, 35, 85, 22, 4, 68, 23, 34, 36, 16, 55, 5, 80, 91, 82, 7, 77, 63, 48, 66, 94, 70, 72], [49, 18, 55, 55, 14, 76, 6, 67, 54, 37, 43, 38, 80, 10, 39, 32, 79, 40, 99, 89, 94, 55, 95, 13]]",2278,34.17,2.21,"[{""platform_id"": 1, ""percent"": 39.1}, {""platform_id"": 2, ""percent"": 49.5}, {""platform_id"": 3, ""percent"": 11.4}]","[{""stars"": 5, ""percent"": 27.2, ""count"": 2305}, {""stars"": 4, ""percent"": 21.7, ""count"": 1683}, {""stars"": 3, ""percent"": 16.6, ""count"": 1197}, {""stars"": 2, ""percent"": 15.4, ""count"": 1827}, {""stars"": 1, ""percent"": 20.8, ""count"": 377}]","[{""text"": ""Soğuk"", ""weight"": 4}, {""text"": ""Az porsiyon"", ""weight"": 3}, {""text"": ""Bayat"", ""weight"": 3}, {""text"": ""Yağlı"", ""weight"": 5}, {""text"": ""Geç"", ""weight"": 2}, {""text"": ""Lezzetsiz"", ""weight"": 1}]","{""restaurant_courier"": {""fee"": 25, ""avg_cost"": 32.66, ""monthly_revenue"": 7154, ""churn_label"": ""ORTA""}, ""own_courier"": {""fee"": 0, ""avg_cost"": 38.55, ""monthly_revenue"": 1355109, ""churn_label"": ""DÜŞÜK""}}"
neighborhood,34-adalar,Heybeliada,,2026-05-01,Getir,1286,63822,39.6,44.6,32.0,46.9,14597.28,283060.4,3881126.72,,,,,,,,,,,,,,,,,,,,
neighborhood,34-adalar,Heybeliada,,2026-05-01,Yemeksepeti,2716,39269,38.9,33.2,40.7,32.6,6805.18,332979.47,7236122.94,,,,,,,,,,,,,,,,,,,,
neighborhood,34-adalar,Heybeliada,Balık & Deniz Ürünleri,2026-05-01,Uber Eats Trendyol Go,2307,79244,30.8,40.4,37.9,40.5,13302.67,278022.6,5191783.2,9.45,11.86,"[{""label"": ""Uzun bekleme"", ""percent"": 20.1, ""color"": ""#EE4444""}, {""label"": ""Yanlış ürün"", ""percent"": 16.1, ""color"": ""#A65EEA""}, {""label"": ""Lezzet"", ""percent"": 20.1, ""color"": ""#22CCEE""}, {""label"": ""Ürün stokta yok"", ""percent"": 7.6, ""color"": ""#66DD22""}, {""label"": ""Diğer"", ""percent"": 19.3, ""color"": ""#F99F1B""}]","[{""label"": ""Eksik Malzeme"", ""percent"": 23.1, ""color"": ""#EE4444""}, {""label"": ""Soğuk Geldi"", ""percent"": 13.6, ""color"": ""#A65EEA""}, {""label"": ""Yanlış Sipariş"", ""percent"": 37.2, ""color"": ""#22CCEE""}, {""label"": ""Ambalaj"", ""percent"": 10.3, ""color"": ""#F99F1B""}]",77.1,4.27,4.82,3.44,175.54,145.13,725014,24,"[[55, 96, 88, 14, 44, 12, 24, 18, 100, 58, 66, 55, 98, 4, 70, 81, 56, 9, 15, 6, 52, 58, 44, 68], [83, 61, 68, 90, 24, 94, 43, 20, 98, 51, 57, 50, 74, 20, 100, 77, 31, 75, 46, 36, 93, 85, 9, 84], [88, 42, 96, 41, 84, 47, 6, 92, 33, 77, 74, 55, 28, 71, 29, 99, 36, 52, 53, 81, 100, 6, 70, 19], [36, 41, 81, 71, 54, 9, 21, 81, 95, 55, 46, 32, 27, 91, 75, 94, 32, 13, 48, 88, 29, 6, 65, 6], [63, 80, 17, 83, 9, 41, 94, 71, 93, 67, 70, 58, 6, 13, 49, 11, 69, 94, 85, 32, 34, 39, 44, 13], [26, 81, 71, 23, 81, 86, 99, 36, 48, 38, 100, 15, 69, 30, 29, 67, 75, 70, 17, 42, 87, 66, 100, 94], [43, 22, 48, 7, 62, 43, 32, 71, 21, 9, 29, 80, 49, 90, 11, 87, 95, 11, 60, 69, 58, 61, 61, 46]]",1868,15.01,3.17,"[{""platform_id"": 1, ""percent"": 21.7}, {""platform_id"": 2, ""percent"": 41.2}, {""platform_id"": 3, ""percent"": 37.1}]","[{""stars"": 5, ""percent"": 22.1, ""count"": 2359}, {""stars"": 4, ""percent"": 27.8, ""count"": 2094}, {""stars"": 3, ""percent"": 28.4, ""count"": 1285}, {""stars"": 2, ""percent"": 24.3, ""count"": 1835}, {""stars"": 1, ""percent"": 9.4, ""count"": 1226}]","[{""text"": ""Kötü"", ""weight"": 3}, {""text"": ""Lezzetsiz"", ""weight"": 4}, {""text"": ""Eksik"", ""weight"": 3}, {""text"": ""Bayat"", ""weight"": 1}, {""text"": ""Soğuk"", ""weight"": 3}, {""text"": ""Geç"", ""weight"": 1}]","{""restaurant_courier"": {""fee"": 28, ""avg_cost"": 39.69, ""monthly_revenue"": 4227, ""churn_label"": ""DÜŞÜK""}, ""own_courier"": {""fee"": 0, ""avg_cost"": 29.74, ""monthly_revenue"": 1135938, ""churn_label"": ""DÜŞÜK""}}"
neighborhood,34-adalar,Heybeliada,Balık & Deniz Ürünleri,2026-05-01,Getir,1627,53312,47.0,40.9,38.8,49.0,6908.7,210519.26,4508669.58,,,,,,,,,,,,,,,,,,,,
neighborhood,34-adalar,Heybeliada,Balık & Deniz Ürünleri,2026-05-01,Yemeksepeti,1900,24927,36.1,28.2,34.0,34.0,9450.01,200741.52,6812363.39,,,,,,,,,,,,,,,,,,,,
neighborhood,34-adalar,Heybeliada,Börek,2026-05-01,Uber Eats Trendyol Go,779,37067,46.8,32.8,26.6,41.7,12424.79,298866.58,4532869.94,22.96,3.72,"[{""label"": ""Uzun bekleme"", ""percent"": 25.6, ""color"": ""#EE4444""}, {""label"": ""Yanlış ürün"", ""percent"": 19.7, ""color"": ""#A65EEA""}, {""label"": ""Lezzet"", ""percent"": 11.5, ""color"": ""#22CCEE""}, {""label"": ""Ürün stokta yok"", ""percent"": 21.9, ""color"": ""#66DD22""}, {""label"": ""Diğer"", ""percent"": 20.8, ""color"": ""#F99F1B""}]","[{""label"": ""Eksik Malzeme"", ""percent"": 28.1, ""color"": ""#EE4444""}, {""label"": ""Soğuk Geldi"", ""percent"": 23.5, ""color"": ""#A65EEA""}, {""label"": ""Yanlış Sipariş"", ""percent"": 47.8, ""color"": ""#22CCEE""}, {""label"": ""Ambalaj"", ""percent"": 23.1, ""color"": ""#F99F1B""}]",80.7,3.66,4.76,3.55,195.71,195.82,1303573,27,"[[46, 37, 4, 21, 32, 42, 64, 19, 40, 48, 18, 28, 61, 38, 88, 4, 20, 72, 86, 24, 57, 49, 86, 59], [47, 27, 76, 32, 89, 52, 65, 50, 53, 26, 62, 51, 36, 47, 90, 37, 5, 33, 43, 78, 85, 69, 100, 77], [35, 81, 61, 50, 83, 49, 46, 34, 55, 88, 42, 84, 25, 27, 91, 10, 78, 37, 60, 8, 46, 36, 37, 67], [54, 49, 68, 94, 93, 29, 82, 88, 94, 5, 12, 75, 97, 87, 63, 53, 92, 81, 25, 61, 11, 38, 34, 69], [73, 46, 96, 22, 70, 61, 12, 49, 92, 70, 33, 38, 87, 87, 38, 32, 7, 20, 78, 83, 92, 88, 63, 95], [34, 74, 44, 43, 38, 26, 39, 11, 23, 82, 37, 72, 4, 42, 93, 58, 69, 71, 53, 93, 96, 84, 83, 95], [75, 85, 83, 9, 73, 95, 61, 55, 29, 36, 88, 26, 66, 25, 43, 60, 63, 17, 18, 48, 61, 74, 62, 28]]",2467,30.64,2.81,"[{""platform_id"": 1, ""percent"": 26.9}, {""platform_id"": 2, ""percent"": 29.2}, {""platform_id"": 3, ""percent"": 43.8}]","[{""stars"": 5, ""percent"": 31.0, ""count"": 1326}, {""stars"": 4, ""percent"": 17.4, ""count"": 2316}, {""stars"": 3, ""percent"": 22.3, ""count"": 1274}, {""stars"": 2, ""percent"": 28.6, ""count"": 2230}, {""stars"": 1, ""percent"": 6.7, ""count"": 1380}]","[{""text"": ""Eksik"", ""weight"": 1}, {""text"": ""Kötü"", ""weight"": 5}, {""text"": ""Bayat"", ""weight"": 1}, {""text"": ""Soğuk"", ""weight"": 4}, {""text"": ""Az porsiyon"", ""weight"": 4}, {""text"": ""Geç"", ""weight"": 4}]","{""restaurant_courier"": {""fee"": 18, ""avg_cost"": 33.48, ""monthly_revenue"": 5545, ""churn_label"": ""DÜŞÜK""}, ""own_courier"": {""fee"": 0, ""avg_cost"": 35.11, ""monthly_revenue"": 1116404, ""churn_label"": ""ORTA""}}"
neighborhood,34-adalar,Heybeliada,Börek,2026-05-01,Getir,2464,77664,48.1,28.4,39.7,37.6,5981.73,266110.68,7868278.86,,,,,,,,,,,,,,,,,,,,
neighborhood,34-adalar,Heybeliada,Börek,2026-05-01,Yemeksepeti,1242,28254,31.4,33.1,44.5,48.2,8659.69,160603.81,6434734.44,,,,,,,,,,,,,,,,,,,,
