district_id,category_id,platform_id,period_date,customers,ad_budget,campaign_rate,coupon_rate,flash_rate,joker_rate,daily_forecast,monthly_forecast,yearly_forecast
34-kağıthane,,3,2026-05-01,922,28331,50.06,31.83,16.91,42.93,14950.51,511831.76,7998924.92
34-eyüpsultan,,1,2026-05-01,1847,8741,38.4,20.01,28.35,35.74,19567.88,364963.11,8060899.02
34-eyüpsultan,,2,2026-05-01,2841,23825,36.35,38.31,15.96,32.24,20507.79,673679.45,7745694.18
34-eyüpsultan,,3,2026-05-01,2374,22390,49.16,26.08,14.09,34.86,21067.72,638308.96,6680671.9
34-gaziosmanpaşa,,1,2026-05-01,1933,19084,25.64,31.5,37.77,48.24,12885.87,460786.67,6434527.98
34-gaziosmanpaşa,,2,2026-05-01,3359,37653,36.02,44.01,18.34,39.3,18208.58,331777.99,4431552.71
34-gaziosmanpaşa,,3,2026-05-01,3459,44964,20.96,19.76,23.64,15.99,20934.03,308200.86,3087509.51
34-bayrampaşa,,1,2026-05-01,992,15556,42.32,37.05,29.65,47.3,23252.29,549626.08,3455850.96
34-bayrampaşa,,2,2026-05-01,2746,24779,28.93,15.38,24.17,43.57,9223.78,327071.67,4378159.06
34-bayrampaşa,,3,2026-05-01,2931,40795,50.72,41.47,21.81,46.68,22312.27,227093.22,8075404.12
34-esenler,,1,2026-05-01,2389,16513,42.53,21.89,36.62,15.27,15900.24,532443.84,5366697.53
34-esenler,,2,2026-05-01,2205,38389,36.32,49.38,12.97,49.65,20369.51,679084.44,2977949.59
34-esenler,,3,2026-05-01,1792,33573,69.02,49.21,26.11,46.63,11767.11,671394.45,7591435.81
34-güngören,,1,2026-05-01,2227,41077,24.14,30.43,26.51,45.73,14774.05,195341.6,7297583.01
34-güngören,,2,2026-05-01,1062,36110,59.99,21.05,20.05,46.52,8529.0,260284.8,5454106.98
34-güngören,,3,2026-05-01,2922,36846,67.29,32.24,38.47,18.44,9985.46,464398.24,4028068.97
34-bahçelievler,,1,2026-05-01,3100,18770,46.14,44.53,26.8,27.47,12861.91,636440.71,7873307.74
34-bahçelievler,,2,2026-05-01,1652,27952,62.54,48.9,25.73,37.92,9617.41,469387.99,5369996.85
34-bahçelievler,,3,2026-05-01,3279,32709,21.39,48.93,25.48,31.02,20419.23,483948.01,5293554.81
34-küçükçekmece,,1,2026-05-01,1483,12318,66.54,31.06,37.62,47.02,13274.87,312989.83,5306130.39
34-küçükçekmece,,2,2026-05-01,2191,36421,65.04,47.75,37.6,36.0,7955.05,406551.19,2385310.25
34-küçükçekmece,,3,2026-05-01,1865,16484,55.11,49.2,11.07,21.22,6212.99,333403.75,6758697.48
34-avcılar,,1,2026-05-01,1801,40690,25.24,40.58,13.68,35.42,10509.97,286773.58,5541216.87
34-avcılar,,2,2026-05-01,2589,9523,38.79,29.47,25.88,21.39,9676.79,520910.1,6222343.14
34-avcılar,,3,2026-05-01,2969,22167,62.56,36.41,35.7,24.31,19333.89,617674.45,7886868.44
34-beylikdüzü,,1,2026-05-01,2093,28643,64.53,21.81,33.35,22.78,7743.51,660044.28,3035011.77
34-beylikdüzü,,2,2026-05-01,1161,25006,39.39,30.22,38.24,36.73,18687.1,288348.75,6156354.07
34-beylikdüzü,,3,2026-05-01,872,14295,30.05,38.88,37.34,53.74,8077.38,453067.7,6976372.92
34-büyükçekmece,,1,2026-05-01,2859,20386,60.14,31.87,10.73,45.48,17040.54,668754.62,5232044.57
34-büyükçekmece,,2,2026-05-01,1576,20093,25.75,21.04,14.74,26.32,18112.88,493080.54,3047036.66
34-büyükçekmece,,3,2026-05-01,2692,13085,58.24,26.44,24.01,35.61,13741.46,504502.09,2283449.83
34-silivri,,1,2026-05-01,967,21124,29.06,30.89,32.18,31.21,9512.27,269141.4,5429133.03
34-silivri,,2,2026-05-01,863,29213,64.66,43.06,31.14,49.43,17328.95,398435.35,5977512.41
34-silivri,,3,2026-05-01,2865,30346,60.24,24.04,37.34,44.78,20003.78,619906.53,4755510.97
34-çatalca,,1,2026-05-01,2151,43315,54.74,41.85,32.96,31.23,19007.42,218097.89,4352827.56
34-çatalca,,2,2026-05-01,2720,14610,20.53,27.45,29.16,39.96,10177.93,690124.87,6396389.48
34-çatalca,,3,2026-05-01,2183,22158,52.99,34.94,25.99,30.58,23997.97,526823.24,6617879.38
34-sultangazi,,1,2026-05-01,2419,9495,25.74,18.78,17.11,32.75,15085.7,591104.84,6282460.39
34-sultangazi,,2,2026-05-01,844,14451,32.93,24.65,20.23,36.62,13482.37,461164.36,7532224.39
34-sultangazi,,3,2026-05-01,1208,37120,60.48,17.67,27.93,45.37,6812.05,682283.07,3207568.91
34-esenyurt,,1,2026-05-01,2732,19083,62.78,33.97,27.9,32.18,14901.6,333595.38,4710976.62
34-esenyurt,,2,2026-05-01,2079,31958,46.52,31.91,18.09,52.18,17944.67,583784.26,2369226.25
34-esenyurt,,3,2026-05-01,1803,10803,51.65,29.31,30.53,17.11,11672.59,394796.39,5865003.49
34-başakşehir,,1,2026-05-01,2107,12817,59.88,22.83,31.57,25.04,19598.99,204534.33,2820379.6
34-başakşehir,,2,2026-05-01,2718,17461,68.94,43.58,28.11,19.6,17236.46,426071.89,3483038.73
34-başakşehir,,3,2026-05-01,1013,31376,46.4,19.35,23.29,41.72,14199.96,321549.88,5868090.91
34-bağcılar,,1,2026-05-01,2518,31856,58.9,33.58,39.93,53.11,19217.12,308741.96,2917371.89
34-bağcılar,,2,2026-05-01,2064,41249,51.25,27.57,18.15,42.4,16168.03,499504.54,6188533.97
34-bağcılar,,3,2026-05-01,1780,20439,67.59,32.58,29.59,22.84,18297.07,519341.14,2259697.44
34-arnavutköy,,1,2026-05-01,1862,35865,21.35,16.33,16.68,26.13,19604.19,672958.64,3213400.53
34-arnavutköy,,2,2026-05-01,1761,32456,44.2,27.39,20.15,34.78,8400.53,649588.5,7254191.23
34-arnavutköy,,3,2026-05-01,2632,21969,42.22,41.16,21.7,21.03,8762.4,631625.73,5958934.28
34-üsküdar,,1,2026-05-01,1991,43953,57.95,43.92,15.52,41.15,16450.61,429488.77,4242167.6
34-üsküdar,,2,2026-05-01,3026,13440,41.6,34.88,34.46,33.54,20822.93,185018.02,4153918.52
34-üsküdar,,3,2026-05-01,3272,13354,54.76,32.32,32.92,28.12,21870.79,298126.45,6340757.94
34-kadıköy,,1,2026-05-01,2139,32012,65.31,26.29,23.23,38.79,22243.01,551007.59,3958972.76
34-kadıköy,,2,2026-05-01,2971,27973,42.91,22.74,39.03,44.19,15290.99,225515.04,7419699.77
34-kadıköy,,3,2026-05-01,898,31810,53.85,35.47,33.88,44.55,12628.45,390732.8,3175155.16
34-ataşehir,,1,2026-05-01,3221,44882,28.86,18.14,23.63,49.19,20613.34,299469.69,2563683.7
34-ataşehir,,2,2026-05-01,1449,27390,68.32,37.79,34.13,17.56,15842.69,605553.95,2729490.84
34-ataşehir,,3,2026-05-01,1134,25933,56.85,46.47,12.54,40.37,8589.8,582727.43,6288721.35
34-ümraniye,,1,2026-05-01,1805,22447,44.45,46.77,20.15,33.36,12307.93,615928.78,4297688.6
34-ümraniye,,2,2026-05-01,1359,40352,44.4,43.17,12.17,39.73,6832.33,588805.07,8409891.94
34-ümraniye,,3,2026-05-01,2230,8253,60.3,44.18,36.66,53.31,17524.92,462882.32,6673544.35
34-maltepe,,1,2026-05-01,1250,35630,66.18,47.04,17.37,21.49,17433.32,549396.9,4221541.35
34-maltepe,,2,2026-05-01,2394,35849,46.45,24.59,36.58,33.86,19153.86,343889.65,3179746.46
34-maltepe,,3,2026-05-01,1534,12085,57.66,15.6,24.43,47.02,11625.91,286717.13,4463717.18
34-kartal,,1,2026-05-01,3209,23427,50.0,31.52,25.26,32.68,22101.38,397342.8,7937272.7
34-kartal,,2,2026-05-01,2076,43929,67.1,34.26,35.6,34.39,13247.08,696076.14,6359576.25
34-kartal,,3,2026-05-01,1178,39628,63.13,28.98,16.52,20.37,20369.03,707055.53,7206660.98
34-pendik,,1,2026-05-01,1924,11796,52.88,23.32,10.33,33.91,12688.09,610257.43,6693711.19
34-pendik,,2,2026-05-01,3282,18308,40.79,42.02,14.34,51.32,20580.15,250802.88,6872552.39
34-pendik,,3,2026-05-01,3337,25465,45.8,16.85,27.16,22.13,9677.44,674762.64,3138858.53
34-tuzla,,1,2026-05-01,1325,13401,37.59,36.52,25.84,50.59,18486.45,224743.82,6916152.75
34-tuzla,,2,2026-05-01,3025,41159,35.18,42.63,22.51,51.67,7637.02,626216.11,3512972.31
34-tuzla,,3,2026-05-01,3025,35076,46.28,20.51,34.96,27.46,11593.44,221053.55,4125918.62
34-sultanbeyli,,1,2026-05-01,2713,12393,37.99,39.05,13.17,30.77,14311.66,702130.49,7427370.19
34-sultanbeyli,,2,2026-05-01,3478,37183,20.62,28.2,31.3,24.5,16154.09,427367.43,2265968.33
34-sultanbeyli,,3,2026-05-01,1646,17970,34.52,28.16,26.19,26.93,12073.01,391788.1,6400139.49
34-sancaktepe,,1,2026-05-01,1850,20363,30.0,40.6,19.88,52.8,16130.55,570847.7,4289448.32
34-sancaktepe,,2,2026-05-01,2366,14047,25.09,36.76,13.94,40.22,9226.4,284309.42,2429801.48
34-sancaktepe,,3,2026-05-01,2697,13904,25.02,16.13,39.62,32.35,19881.64,364493.76,7386520.95
34-çekmeköy,,1,2026-05-01,2895,17113,52.36,41.84,34.63,30.44,11965.39,402555.87,2297180.52
34-çekmeköy,,2,2026-05-01,2441,28820,69.1,42.64,29.81,39.34,6333.75,358748.34,4356091.12
34-çekmeköy,,3,2026-05-01,3465,36916,25.31,28.22,25.28,46.54,20853.4,510176.1,3197554.59
34-beykoz,,1,2026-05-01,3007,27561,47.41,27.34,25.01,20.67,18841.58,712860.27,5451029.03
34-beykoz,,2,2026-05-01,1607,9750,51.36,21.93,12.5,24.78,16376.76,556434.72,4273863.07
34-beykoz,,3,2026-05-01,2279,25443,43.15,19.34,39.21,20.42,22273.03,473449.82,5732586.25
34-şile,,1,2026-05-01,3095,25325,28.43,41.1,36.91,28.39,8621.51,684354.46,2223933.0
34-şile,,2,2026-05-01,2289,23785,57.92,27.71,14.98,38.9,20602.52,425349.68,4741358.64
34-şile,,3,2026-05-01,3496,17060,35.38,38.49,32.13,30.27,16654.16,614061.27,2302999.71
34-adalar,,1,2026-05-01,1617,35001,43.4,20.0,21.59,37.78,9126.39,460676.15,3861046.64
34-adalar,,2,2026-05-01,3126,29764,22.67,42.44,31.65,46.5,13257.2,448678.24,2845874.08
34-adalar,,3,2026-05-01,2214,34963,64.83,46.96,26.94,31.28,11068.21,660156.28,5120064.55
